Year,BRA ID,Total Monthly Wages,Total Jobs,Total Establishments,Average Monthly Wage,Average age,Industry Diversity,Effective Industry Diversity,Occupation Diversity,Effective Occupation Diversity,Nominal Wage Growth (1 year),Nominal Wage Growth (5 year),Nominal Employee Growth (1 year),Nominal Employee Growth (5 year),Gini coefficient,Year,BRA ID,Total Monthly Wages,Total Jobs,Total Establishments,Average Monthly Wage,Average age,Industry Diversity,Effective Industry Diversity,Occupation Diversity,Effective Occupation Diversity,Nominal Wage Growth (1 year),Nominal Wage Growth (5 year),Nominal Employee Growth (1 year),Nominal Employee Growth (5 year),Gini coefficient
2014,1ac,300780830.320,133161,7330,2258.780,37.335,395,35.072,500,75.139,0.953,0.027,0.260,0.006,,2014,1ac,300780830.320,133161,7330,2258.780,37.335,395,35.072,500,75.139,0.953,0.027,0.260,0.006,
2014,1am,1405696481.210,642920,21727,2186.430,36.730,537,75.428,571,96.099,0.849,0.016,0.253,0.000,,2014,1am,1405696481.210,642920,21727,2186.430,36.730,537,75.428,571,96.099,0.849,0.016,0.253,0.000,
2014,1ap,363878048.740,132833,6172,2739.370,37.250,355,32.707,488,57.446,0.900,0.030,0.253,0.010,,2014,1ap,363878048.740,132833,6172,2739.370,37.250,355,32.707,488,57.446,0.900,0.030,0.253,0.010,
2014,1pa,2366208425.220,1148221,57293,2060.760,36.507,564,61.856,585,95.798,1.217,0.020,0.318,0.004,,2014,1pa,2366208425.220,1148221,57293,2060.760,36.507,564,61.856,585,95.798,1.217,0.020,0.318,0.004,
2014,1ro,763482993.830,374101,28463,2040.850,36.035,516,53.475,552,76.201,0.920,0.018,0.251,0.002,,2014,1ro,763482993.830,374101,28463,2040.850,36.035,516,53.475,552,76.201,0.920,0.018,0.251,0.002,
2014,1rr,225579312.750,94320,4595,2391.640,36.474,336,23.946,464,63.896,0.813,0.023,0.279,0.004,,2014,1rr,225579312.750,94320,4595,2391.640,36.474,336,23.946,464,63.896,0.813,0.023,0.279,0.004,
2014,1to,595738840.480,275913,22298,2159.160,35.994,466,39.335,554,84.323,1.031,0.042,0.207,0.014,,2014,1to,595738840.480,275913,22298,2159.160,35.994,466,39.335,554,84.323,1.031,0.042,0.207,0.014,
2014,2al,876284448.560,514391,29051,1703.540,37.380,513,43.767,566,74.542,0.803,0.021,0.153,0.002,,2014,2al,876284448.560,514391,29051,1703.540,37.380,513,43.767,566,74.542,0.803,0.021,0.153,0.002,
2014,2ba,4508628059.500,2372583,167944,1900.300,37.021,637,93.548,591,103.535,0.856,0.024,0.185,0.005,,2014,2ba,4508628059.500,2372583,167944,1900.300,37.021,637,93.548,591,103.535,0.856,0.024,0.185,0.005,
2014,2ce,2615402481.760,1552447,86038,1684.700,36.225,620,89.786,587,97.383,1.010,0.025,0.251,0.008,,2014,2ce,2615402481.760,1552447,86038,1684.700,36.225,620,89.786,587,97.383,1.010,0.025,0.251,0.008,
2014,2ma,1322379211.460,738826,39781,1789.840,37.330,535,48.449,567,77.563,1.093,0.021,0.313,0.005,,2014,2ma,1322379211.460,738826,39781,1789.840,37.330,535,48.449,567,77.563,1.093,0.021,0.313,0.005,
2014,2pb,1124348803.470,679180,38727,1655.450,37.663,555,44.028,567,80.336,0.957,0.023,0.251,0.006,,2014,2pb,1124348803.470,679180,38727,1655.450,37.663,555,44.028,567,80.336,0.957,0.023,0.251,0.006,
2014,2pe,3251883086.710,1768543,101930,1838.740,36.961,622,103.561,589,99.564,1.042,0.017,0.265,0.001,,2014,2pe,3251883086.710,1768543,101930,1838.740,36.961,622,103.561,589,99.564,1.042,0.017,0.265,0.001,
2014,2pi,816846402.180,457730,28004,1784.560,37.855,515,44.401,560,81.442,1.048,0.024,0.303,0.006,,2014,2pi,816846402.180,457730,28004,1784.560,37.855,515,44.401,560,81.442,1.048,0.024,0.303,0.006,
2014,2rn,1176669031.390,632140,40556,1861.410,37.229,560,67.481,571,84.347,0.837,0.019,0.176,0.005,,2014,2rn,1176669031.390,632140,40556,1861.410,37.229,560,67.481,571,84.347,0.837,0.019,0.176,0.005,
2014,2se,841964417.560,417023,24947,2018.990,36.864,521,71.834,548,92.790,0.861,0.019,0.213,0.005,,2014,2se,841964417.560,417023,24947,2018.990,36.864,521,71.834,548,92.790,0.861,0.019,0.213,0.005,
2014,3df,5321779412.220,1321828,58025,4026.080,35.587,535,56.490,581,54.724,0.643,0.016,0.244,0.003,,2014,3df,5321779412.220,1321828,58025,4026.080,35.587,535,56.490,581,54.724,0.643,0.016,0.244,0.003,
2014,3go,2959379818.270,1514532,134954,1953.990,35.773,619,115.788,590,98.619,1.029,0.018,0.258,0.001,,2014,3go,2959379818.270,1514532,134954,1953.990,35.773,619,115.788,590,98.619,1.029,0.018,0.258,0.001,
2014,3ms,1350998164.480,653578,61084,2067.080,36.359,558,97.886,580,101.836,0.951,0.023,0.250,0.006,,2014,3ms,1350998164.480,653578,61084,2067.080,36.359,558,97.886,580,101.836,0.951,0.023,0.250,0.006,
2014,3mt,1671181057.370,804530,74671,2077.210,35.266,562,88.019,583,97.153,1.118,0.022,0.293,0.003,,2014,3mt,1671181057.370,804530,74671,2077.210,35.266,562,88.019,583,97.153,1.118,0.022,0.293,0.003,
2014,4es,1952719252.210,967728,76977,2017.840,36.315,581,114.377,579,113.393,0.835,0.020,0.185,0.003,,2014,4es,1952719252.210,967728,76977,2017.840,36.315,581,114.377,579,113.393,0.835,0.020,0.185,0.003,
2014,4mg,9703500177.020,5071906,445135,1913.190,36.544,657,138.148,594,122.631,0.836,0.017,0.165,0.000,,2014,4mg,9703500177.020,5071906,445135,1913.190,36.544,657,138.148,594,122.631,0.836,0.017,0.165,0.000,
2014,4rj,12414985580.510,4641380,263821,2674.850,38.125,650,129.072,595,109.548,0.908,0.019,0.207,0.002,,2014,4rj,12414985580.510,4641380,263821,2674.850,38.125,650,129.072,595,109.548,0.908,0.019,0.207,0.002,
2014,4sp,35683948906.770,14111450,924748,2528.720,36.450,665,181.304,598,123.145,0.758,0.018,0.171,0.001,,2014,4sp,35683948906.770,14111450,924748,2528.720,36.450,665,181.304,598,123.145,0.758,0.018,0.171,0.001,
2014,5pr,6646605028.180,3167134,274201,2098.620,36.307,652,151.824,592,118.683,0.940,0.020,0.202,0.003,,2014,5pr,6646605028.180,3167134,274201,2098.620,36.307,652,151.824,592,118.683,0.940,0.020,0.202,0.003,
2014,5rs,6728841998.340,3109179,272403,2164.190,36.714,651,159.808,592,122.691,0.861,0.019,0.198,0.002,,2014,5rs,6728841998.340,3109179,272403,2164.190,36.714,651,159.808,592,122.691,0.861,0.019,0.198,0.002,
2014,5sc,4655489604.160,2273933,194537,2047.330,35.280,638,155.950,592,125.464,0.988,0.025,0.239,0.006,,2014,5sc,4655489604.160,2273933,194537,2047.330,35.280,638,155.950,592,125.464,0.988,0.025,0.239,0.006,
